Geocodigo,Municipio,UF,Tipo,unidade,Safra,Valor
1100015,Alta Floresta D'Oeste,RO,Area(colhida),ha,2017,31
1100023,Ariquemes,RO,Area(colhida),ha,2017,10
1100031,Cabixi,RO,Area(colhida),ha,2017,0
1100049,Cacoal,RO,Area(colhida),ha,2017,20
1100056,Cerejeiras,RO,Area(colhida),ha,2017,800
1100064,Colorado do Oeste,RO,Area(colhida),ha,2017,50
1100072,Corumbiara,RO,Area(colhida),ha,2017,8
1100080,Costa Marques,RO,Area(colhida),ha,2017,11
1100098,Espigão D'Oeste,RO,Area(colhida),ha,2017,100
1100106,Guajará-Mirim,RO,Area(colhida),ha,2017,8
1100114,Jaru,RO,Area(colhida),ha,2017,13
1100122,Ji-Paraná,RO,Area(colhida),ha,2017,2
1100130,Machadinho D'Oeste,RO,Area(colhida),ha,2017,41
1100148,Nova Brasilândia D'Oeste,RO,Area(colhida),ha,2017,0
1100155,Ouro Preto do Oeste,RO,Area(colhida),ha,2017,69
1100189,Pimenta Bueno,RO,Area(colhida),ha,2017,100
1100205,Porto Velho,RO,Area(colhida),ha,2017,47
1100254,Presidente Médici,RO,Area(colhida),ha,2017,6
1100262,Rio Crespo,RO,Area(colhida),ha,2017,0
1100288,Rolim de Moura,RO,Area(colhida),ha,2017,10
1100296,Santa Luzia D'Oeste,RO,Area(colhida),ha,2017,2000
1100304,Vilhena,RO,Area(colhida),ha,2017,0
1100320,São Miguel do Guaporé,RO,Area(colhida),ha,2017,0
1100338,Nova Mamoré,RO,Area(colhida),ha,2017,10
1100346,Alvorada D'Oeste,RO,Area(colhida),ha,2017,31
1100379,Alto Alegre dos Parecis,RO,Area(colhida),ha,2017,7
1100403,Alto Paraíso,RO,Area(colhida),ha,2017,0
1100452,Buritis,RO,Area(colhida),ha,2017,0
1100502,Novo Horizonte do Oeste,RO,Area(colhida),ha,2017,6
1100601,Cacaulândia,RO,Area(colhida),ha,2017,0
1100700,Campo Novo de Rondônia,RO,Area(colhida),ha,2017,15
1100809,Candeias do Jamari,RO,Area(colhida),ha,2017,30
1100908,Castanheiras,RO,Area(colhida),ha,2017,13
1100924,Chupinguaia,RO,Area(colhida),ha,2017,0
1100940,Cujubim,RO,Area(colhida),ha,2017,0
1101005,Governador Jorge Teixeira,RO,Area(colhida),ha,2017,32
1101104,Itapuã do Oeste,RO,Area(colhida),ha,2017,5
1101203,Ministro Andreazza,RO,Area(colhida),ha,2017,0
1101302,Mirante da Serra,RO,Area(colhida),ha,2017,15
1101401,Monte Negro,RO,Area(colhida),ha,2017,2
1101435,Nova União,RO,Area(colhida),ha,2017,15
1101450,Parecis,RO,Area(colhida),ha,2017,5
1101468,Pimenteiras do Oeste,RO,Area(colhida),ha,2017,0
